-0.9978480,3.5749429,2.0155122
-1.1514064,3.4489255,2.0293961
-1.2764311,3.3004607,2.0440631
-1.3808150,3.1272350,2.0648294
-1.4587691,2.9394606,2.0894831
-1.5095266,2.7482073,2.1155668
-1.5375254,2.5482461,2.1417019
-1.5432673,2.3494275,2.1675689
-1.5287744,2.1490476,2.1918967
-1.4955207,1.9521680,2.2116914
-1.4442921,1.7583618,2.2322306
-1.3761255,1.5703228,2.2542793
-1.2913624,1.3888798,2.2754523
-1.1906325,1.2159916,2.2952983
-1.0741616,1.0530100,2.3117776
-0.9430046,0.9023635,2.3246985
-0.7967365,0.7647901,2.3344217
-0.6387652,0.6444808,2.3422359
-0.4660427,0.5407505,2.3441235
-0.2856305,0.4590190,2.3440921
-0.0946421,0.3983858,2.3396759
0.1008794,0.3598767,2.3357789
0.2994084,0.3427455,2.3322981
0.4993824,0.3470336,2.3271779
0.6976245,0.3725944,2.3225544
0.8918878,0.4189500,2.3185641
1.0808370,0.4858865,2.3028694
1.2612465,0.5725731,2.2846860
1.4302822,0.6780002,2.2644680
1.5880913,0.8034848,2.2568459
1.7294710,0.9461335,2.2504147
1.8517720,1.1034722,2.2439411
1.9541748,1.2735549,2.2382170
2.0381593,1.4553464,2.2374336
2.1081293,1.6380864,2.2480083
2.1711540,1.8250319,2.2641625
2.2186735,2.0185199,2.2808614
2.2446440,2.2182274,2.2985256
2.2464240,2.4216010,2.3174574
2.2241837,2.6185782,2.3343706
2.1784941,2.8138754,2.3480183
2.1106554,3.0031825,2.3589737
2.0234211,3.1822503,2.3621676
1.9172374,3.3524037,2.3630790
1.7948914,3.5102618,2.3587317
1.6573083,3.6555465,2.3547659
1.5063334,3.7866930,2.3511629
1.3433879,3.9026759,2.3462294
1.1701390,4.0022706,2.3409659
0.9876590,4.0845136,2.3364924
0.7980769,4.1479079,2.3317028
0.6028833,4.1912453,2.3262527
0.4037077,4.2131328,2.3163025
0.2047114,4.2122882,2.3035623
0.0046723,4.1872529,2.2582954
-0.1892157,4.1371989,2.2072821
-0.3734875,4.0618963,2.1485115
-0.5496416,3.9579558,2.0763135
-0.7069980,3.8297929,2.0090985
-0.8373118,3.6906464,1.9951616
-0.9978480,3.5749429,2.0155122
